User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/12-04-014-16W4/00, 1375, 1435, 1311.1, Dstettler, 1433, Dpeechee
100/14-22-014-16W4/00, 25, 1335, 0, ABOVE Kmilk_rv, 1252, Dstettler
100/12-25-014-16W4/00, 15, 273.9, 0, ABOVE Kcolorado, 720, Kgething_p
100/03-26-014-16W4/00, 25, 734.5, 0, ABOVE Kmilk_rv, 726.2, Kbi_ss
100/02-07-014-17W4/00, 239.2, 1288, 0, ABOVE Kmilk_rv, 1133.8, Kbi_ss
100/09-03-014-18W4/00, 25, 830, 0, ABOVE Kbsbrv_ss, 787.8, K2ws_ss
100/14-05-014-18W4/00, 25, 788.5, 0, ABOVE Kpakowki, 737.7, K2ws_ss
100/06-07-014-18W4/00, 25, 805, 0, ABOVE Kmilk_rv, 751.7, K2ws_ss
102/13-07-014-18W4/00, 25, 820, 0, ABOVE Kpakowki, 752.5, K2ws_ss
100/07-11-014-18W4/00, 20, 839, 0, ABOVE Kpakowki, 819.6, Kbi_ss
100/03-13-014-19W4/00, 25, 840, 0, ABOVE Kpakowki, 767.3, K2ws_ss
100/10-13-014-19W4/00, 30, 1132, 0, ABOVE K2nd_ws, 1112.8, Kglauc_ss
100/15-27-014-19W4/00, 80, 1174.9, 0, ABOVE Kpakowki, 1171, Mlivngstn
100/04-22-014-20W4/00, 244, 1323, 0, ABOVE Kbow_isl, 1225.4, Ksunburst
100/02-30-014-20W4/00, 950, 1300, 0, ABOVE Kbfs, 1294.2, Mlivngstn
100/10-31-014-20W4/00, 242, 1295, 0, ABOVE Kpakowki, 455.6, Kpakowki
100/07-01-014-21W4/00, 240.1, 1320.7, 0, ABOVE Kpakowki, 517.9, Kmilk_rv
100/08-04-014-26W4/00, 200, 1862.5, 0, ABOVE Kpakowki, 1805.1, Kbi_ss
100/01-04-014-27W4/00, 1950, 2303.5, 0, ABOVE Kcutbank, 2288.5, Jrierdon
103/11-28-014-28W4/00, 602.4, 2625, 0, ABOVE Kglauc_ss, 2586.3, Mturner_v
100/10-18-014-29W4/00, 450.3, 3312.5, 0, ABOVE Kbelly_rv, 3280, Mlivngstn
100/10-36-014-30W4/00, 6.7, 460, 0, ABOVE Kbelly_rv, 1088, Miss_sys_p
100/06-05-014-04W5/00, 5, 2163, 0, ABOVE Mrundle, 2154.4, Mrundle
100/06-02-015-01W4/00, 25, 325, 0, ABOVE Kpakowki, 239.3, Kpakowki
102/08-28-015-02W4/00, 400, 535, 0, ABOVE Kmilk_rv, 509.4, Kcolorado
102/06-32-015-03W4/00, 25, 520, 0, ABOVE Kmilk_rv, 495, Kmed_hat
100/04-23-015-04W4/00, 32, 388, 0, ABOVE Kmilk_rv, 330, Kmilk_rv
100/09-22-015-07W4/00, 150, 625, 0, ABOVE Kpakowki, 608.8, Kbfs
100/06-09-015-08W4/00, 20, 1069, 0, ABOVE Kmilk_rv, 2837, BELOW Mturner_v_p
100/14-06-015-09W4/00, 25, 635, 0, ABOVE Kmilk_rv, 579.9, K2ws_ss
102/02-11-015-10W4/00, 25, 628, 0, ABOVE Kmilk_rv, 585.2, K2ws_ss
100/14-18-015-10W4/00, 169, 965, 0, ABOVE Kpakowki, 960, Mpekisko
100/01-22-015-10W4/00, 25, 640, 0, ABOVE Kmilk_rv, 596.5, K2ws_ss
100/12-30-015-10W4/00, 50, 650.2, 0, ABOVE Kpakowki, 597.8, K2ws_ss
100/05-02-015-11W4/00, 190, 976, 0, ABOVE Kmilk_rv, 956, Mpekisko
100/01-21-015-11W4/00, 240, 1301.5, 0, ABOVE Kpakowki, 1284, Mpekisko
102/07-35-015-11W4/00, 215, 1012, 0, ABOVE Kmilk_rv, 970, Mpekisko
102/10-11-015-12W4/00, 580, 650.9, 579, K2nd_ws, 589.5, K2ws_ss
100/09-13-015-12W4/00, 25, 689.5, 0, ABOVE Kpakowki, 667.4, Kbfs
100/15-14-015-12W4/00, 580, 673.9, 393.7, Kmed_hat, 597.8, K2ws_ss
100/12-23-015-12W4/00, 580, 664.9, 390.1, Kmed_hat, 602.2, K2ws_ss
100/02-25-015-12W4/00, 255, 1046, 0, ABOVE K2nd_ws, 719.6, Kbow_isl
100/10-36-015-12W4/00, 25, 960, 0, ABOVE Kcolorado, 949.4, Kglauc_ss
100/15-06-015-13W4/00, 675, 1030, 607.6, K2ws_ss, 1005.5, Mpekisko
100/05-07-015-13W4/00, 675, 1000, 674.5, Kbfs, 991, Mpekisko
102/05-15-015-13W4/00, 192.2, 1075, 0, ABOVE K2nd_ws, 981, Kglauc_ss
100/13-18-015-13W4/00, 192, 960, 0, ABOVE Kpakowki, 936, Kmannvl
100/02-33-015-13W4/00, 245.6, 997, 0, ABOVE Kmilk_rv, 997, Mpekisko
102/08-35-015-13W4/00, 150, 875, 0, ABOVE Kbsbrv_ss, 856.5, Kmannvl
100/16-01-015-14W4/00, 730, 950, 704.4, Kbi_ss, 855, Kmannvl
100/13-23-015-14W4/00, 675, 975, 612.4, K2ws_ss, 694.9, Kbow_isl
100/11-24-015-14W4/00, 204, 1075, 0, ABOVE Kmilk_rv, 1065.6, Mpekisko
102/10-29-015-14W4/00, 25, 950, 0, ABOVE Kpakowki, 874.2, Kmannvl
100/09-14-015-15W4/00, 186, 1035, 0, ABOVE Kpakowki, 1029.1, Mpekisko
